套餐类型名,vCPU(个),family_id,内存容量(GB),PPS(万),内网带宽(Gbps),弹性网卡数,网卡队列数,单网卡私有IP数,价格单位,中国大陆Linux/Windows,"数据盘容量(GB,本地SSD)",新加坡Linux,新加坡Windows,连接数(万),云盘IOPS,云盘带宽(Gbps),GPU,GPU显存,多队列,网卡数,金融专区,中国香港Linux,中国香港Windows
C7.64C,64,计算优化型,256,1200,50.0,8.0,32.0,30.0,元/小时,17.0112,-,,,,,,,,,,,,
C7.96B,96,计算优化型,192,1800,75.0,15.0,32.0,30.0,元/小时,19.6608,-,,,,,,,,,,,,
C7.96C,96,计算优化型,384,1800,75.0,15.0,32.0,30.0,元/小时,25.5168,-,,,,,,,,,,,,
C7.108B,108,计算优化型,216,2400,100.0,15.0,32.0,50.0,元/小时,22.1184,-,,,,,,,,,,,,
C7.108C,108,计算优化型,432,2400,100.0,15.0,32.0,50.0,元/小时,28.7064,-,,,,,,,,,,,,
C9a.2B,2,计算优化型,4,100,1.5,3.0,2.0,6.0,元/小时,0.4,,,,30.0,3,3.0,,,,,,,
C9a.2C,2,计算优化型,8,100,1.5,3.0,2.0,6.0,元/小时,0.52,,,,30.0,3,3.0,,,,,,,
C9a.4B,4,计算优化型,8,120,1.5,4.0,4.0,15.0,元/小时,0.8,,,,30.0,5,4.0,,,,,,,
C9a.4C,4,计算优化型,16,120,1.5,4.0,4.0,15.0,元/小时,1.03,,,,30.0,5,4.0,,,,,,,
C9a.8B,8,计算优化型,16,160,3.0,4.0,8.0,15.0,元/小时,1.6,,,,30.0,6,5.0,,,,,,,
C9a.8C,8,计算优化型,32,160,3.0,4.0,8.0,15.0,元/小时,2.07,,,,30.0,6,5.0,,,,,,,
C9a.16B,16,计算优化型,32,300,5.0,8.0,16.0,30.0,元/小时,3.2,,,,50.0,10,8.0,,,,,,,
C9a.16C,16,计算优化型,64,300,5.0,8.0,16.0,30.0,元/小时,4.13,,,,50.0,10,8.0,,,,,,,
C9a.32B,32,计算优化型,64,600,15.0,8.0,32.0,30.0,元/小时,6.4,,,,100.0,25,12.0,,,,,,,
C9a.32C,32,计算优化型,128,600,15.0,8.0,32.0,30.0,元/小时,8.27,,,,100.0,25,12.0,,,,,,,
C9a.64B,64,计算优化型,128,1200,25.0,8.0,32.0,30.0,元/小时,12.81,,,,200.0,50,24.0,,,,,,,
C9a.64C,64,计算优化型,256,1200,25.0,8.0,32.0,30.0,元/小时,16.53,,,,200.0,50,24.0,,,,,,,
C9a.128B,128,计算优化型,256,2400,50.0,15.0,32.0,50.0,元/小时,25.61,,,,400.0,100,48.0,,,,,,,
C9a.128C,128,计算优化型,512,2400,50.0,15.0,32.0,50.0,元/小时,33.06,,,,400.0,100,48.0,,,,,,,
C9a.224B,224,计算优化型,448,2400,100.0,15.0,32.0,50.0,元/小时,44.82,,,,400.0,100,48.0,,,,,,,
C9a.224C,224,计算优化型,896,2400,100.0,15.0,32.0,50.0,元/小时,57.86,,,,400.0,100,48.0,,,,,,,
GN6I.4A1,4,GPU推理型,16,50,4.0,,,,,,,,,,,,T4*1,16GB*1,2.0,,,,
