instance_type,cpu,memory,hourly_price,instance_label,family_id,processor_model,network_bandwidth,network_pps,disk,platform,l1_cache,l2_cache,l3_cache,processor_base_frequency,processor_turbo_frequency,numa_count,hyper_threading,region,disk_iops,disk_bandwidth
ecs.mn4.2xlarge,8.0,32.0,,,mn4,,1.2,30,0,aliyun,,,,,,,,,,
ecs.mn4.4xlarge,16.0,64.0,,,mn4,,2.5,40,0,aliyun,,,,,,,,,,
ecs.mn4.8xlarge,32.0,128.0,,,mn4,,5.0,50,0,aliyun,,,,,,,,,,
ecs.hfg5.large,2.0,8.0,,高主频型,hfg5,,1.0,30万,0,aliyun,,,,,,,,,,
ecs.hfg5.xlarge,4.0,16.0,,高主频型,hfg5,,1.5,50万,0,aliyun,,,,,,,,,,
ecs.hfg5.2xlarge,8.0,32.0,,高主频型,hfg5,,2.0,100万,0,aliyun,,,,,,,,,,
ecs.hfg5.3xlarge,12.0,48.0,,高主频型,hfg5,,2.5,130万,0,aliyun,,,,,,,,,,
ecs.hfg5.4xlarge,16.0,64.0,,高主频型,hfg5,,3.0,160万,0,aliyun,,,,,,,,,,
ecs.hfg5.6xlarge,24.0,96.0,,高主频型,hfg5,,4.5,200万,0,aliyun,,,,,,,,,,
ecs.hfg5.8xlarge,32.0,128.0,,高主频型,hfg5,,6.0,250万,0,aliyun,,,,,,,,,,
ecs.hfg5.14xlarge,56.0,160.0,,高主频型,hfg5,,10.0,400万,0,aliyun,,,,,,,,,,
ecs.i2.xlarge,4.0,32.0,,本地SSD型,i2,,1,50万,0,aliyun,,,,,,,,,,最高16
ecs.i2.2xlarge,8.0,64.0,,本地SSD型,i2,,2,100万,0,aliyun,,,,,,,,,,最高16
ecs.i2.4xlarge,16.0,128.0,,本地SSD型,i2,,3,150万,0,aliyun,,,,,,,,,,最高16
ecs.i2.8xlarge,32.0,256.0,,本地SSD型,i2,,6,200万,0,aliyun,,,,,,,,,,最高16
ecs.i2.16xlarge,64.0,512.0,,本地SSD型,i2,,10,400万,0,aliyun,,,,,,,,,,最高16
ecs.ebmg8i.48xlarge,192.0,1024.0,,,ebmg8i,,100/无,3000万,0,aliyun,,,,,,,,,100万/无,48/无
ecs.r8ae.large,2.0,16.0,,内存型,r8ae,,3/最高15,100万,0,aliyun,,,,,,,,,3万/最高20万,2/最高10
ecs.r8ae.xlarge,4.0,32.0,,内存型,r8ae,,4/最高15,120万,0,aliyun,,,,,,,,,5万/最高20万,2.5/最高10
ecs.r8ae.2xlarge,8.0,64.0,,内存型,r8ae,,6/最高15,160万,0,aliyun,,,,,,,,,6万/最高20万,3/最高10
ecs.r8ae.4xlarge,16.0,128.0,,内存型,r8ae,,12/最高25,300万,0,aliyun,,,,,,,,,10万/最高20万,6/最高10
ecs.r8ae.8xlarge,32.0,256.0,,内存型,r8ae,,20/最高25,600万,0,aliyun,,,,,,,,,20万/无,10/无
ecs.sgn8ia-m2.xlarge,4.0,16.0,,,sgn8ia-m2,,2.5,100万,0,aliyun,,,,,,,,,3万,
ecs.sgn8ia-m4.2xlarge,8.0,32.0,,,sgn8ia-m4,,4.0,160万,0,aliyun,,,,,,,,,4.5万,
ecs.sgn8ia-m8.4xlarge,16.0,64.0,,,sgn8ia-m8,,7.0,200万,0,aliyun,,,,,,,,,6万,
ecs.sgn8ia-m16.8xlarge,32.0,128.0,,,sgn8ia-m16,,10.0,300万,0,aliyun,,,,,,,,,8万,
ecs.sgn8ia-m24.12xlarge,48.0,192.0,,,sgn8ia-m24,,16.0,450万,0,aliyun,,,,,,,,,12万,
ecs.sgn8ia-m48.24xlarge,96.0,384.0,,,sgn8ia-m48,,32.0,900万,0,aliyun,,,,,,,,,2.4万,
ecs.g9i.large,2.0,8.0,,通用型,g9i,,2.5/最高15,100万,0,aliyun,,,,,,,,,2.5万/最高20万,2/最高10
ecs.g9i.xlarge,4.0,16.0,,通用型,g9i,,4/最高15,120万,0,aliyun,,,,,,,,,5万/最高20万,2.5/最高10
ecs.g9i.2xlarge,8.0,32.0,,通用型,g9i,,6/最高15,160万,0,aliyun,,,,,,,,,6万/最高20万,4/最高10
ecs.g9i.3xlarge,12.0,48.0,,通用型,g9i,,10/最高15,240万,0,aliyun,,,,,,,,,8万/最高20万,5/最高10
ecs.g9i.4xlarge,16.0,64.0,,通用型,g9i,,12/最高25,300万,0,aliyun,,,,,,,,,10万/最高20万,6/最高10
ecs.g9i.6xlarge,24.0,96.0,,通用型,g9i,,15/最高25,450万,0,aliyun,,,,,,,,,12万/最高20万,7.5/最高10
ecs.g9i.8xlarge,32.0,128.0,,通用型,g9i,,20/最高32,600万,0,aliyun,,,,,,,,,20万/最高30万,10/最高12
ecs.g9i.12xlarge,48.0,192.0,,通用型,g9i,,25/最高32,900万,0,aliyun,,,,,,,,,24万/最高32万,12/最高15
ecs.g9i.16xlarge,64.0,256.0,,通用型,g9i,,28/最高36,1200万,0,aliyun,,,,,,,,,30万/最高40万,16/最高24
ecs.g9i.24xlarge,96.0,384.0,,通用型,g9i,,32/最高48,1800万,0,aliyun,,,,,,,,,35万/最高60万,20/最高28
ecs.g9i.32xlarge,128.0,512.0,,通用型,g9i,,36/最高50,2000万,0,aliyun,,,,,,,,,40万/最高65万,24/最高28
ecs.g9i.48xlarge,192.0,768.0,,通用型,g9i,,64/无,2400万,0,aliyun,,,,,,,,,50万/最高80万,32/无
ecs.hfg7.large,2.0,8.0,,高主频型,hfg7,,1.2/10,90万,0,aliyun,,,,,,,,,2万,1.0
ecs.hfg7.xlarge,4.0,16.0,,高主频型,hfg7,,2/10,100万,0,aliyun,,,,,,,,,3万,1.5
ecs.hfg7.2xlarge,8.0,32.0,,高主频型,hfg7,,3/10,160万,0,aliyun,,,,,,,,,4.5万,2.0
ecs.hfg7.3xlarge,12.0,48.0,,高主频型,hfg7,,4.5/10,200万,0,aliyun,,,,,,,,,6万,2.5
ecs.hfg7.4xlarge,16.0,64.0,,高主频型,hfg7,,6/10,250万,0,aliyun,,,,,,,,,7.5万,3.0
ecs.hfg7.6xlarge,24.0,96.0,,高主频型,hfg7,,8/10,300万,0,aliyun,,,,,,,,,9万,4.0
ecs.hfg7.8xlarge,32.0,128.0,,高主频型,hfg7,,10/无,400万,0,aliyun,,,,,,,,,10.5万,5.0
ecs.hfg7.12xlarge,48.0,192.0,,高主频型,hfg7,,16/无,600万,0,aliyun,,,,,,,,,15万,8.0
ecs.hfg7.24xlarge,96.0,384.0,,高主频型,hfg7,,32/无,1200万,0,aliyun,,,,,,,,,30万,16.0
ecs.c8i.large,2.0,4.0,,计算型,c8i,,2.5/最高15,100万,0,aliyun,,,,,,,,,2.5万/最高20万,2/最高10
ecs.c8i.xlarge,4.0,8.0,,计算型,c8i,,4/最高15,120万,0,aliyun,,,,,,,,,5万/最高20万,2.5/最高10
ecs.c8i.2xlarge,8.0,16.0,,计算型,c8i,,6/最高15,160万,0,aliyun,,,,,,,,,6万/最高20万,4/最高10
ecs.c8i.3xlarge,12.0,24.0,,计算型,c8i,,10/最高15,240万,0,aliyun,,,,,,,,,8万/最高20万,5/最高10
ecs.c8i.4xlarge,16.0,32.0,,计算型,c8i,,12/最高25,300万,0,aliyun,,,,,,,,,10万/最高20万,6/最高10
ecs.c8i.6xlarge,24.0,48.0,,计算型,c8i,,15/最高25,450万,0,aliyun,,,,,,,,,12万/最高20万,7.5/最高10
ecs.c8i.8xlarge,32.0,64.0,,计算型,c8i,,20/最高25,600万,0,aliyun,,,,,,,,,20万/无,10/无
ecs.c8i.12xlarge,48.0,96.0,,计算型,c8i,,25/无,900万,0,aliyun,,,,,,,,,30万/无,12/无
ecs.c8i.16xlarge,64.0,128.0,,计算型,c8i,,32/无,1200万,0,aliyun,,,,,,,,,36万/无,20/无
ecs.c8i.24xlarge,96.0,192.0,,计算型,c8i,,50/无,1800万,0,aliyun,,,,,,,,,50万/无,24/无
ecs.c8i.48xlarge,192.0,512.0,,计算型,c8i,,100/无,3000万,0,aliyun,,,,,,,,,100万/无,48/无
